"","state","year","suicideRate","povertyPerventage","suicideZScore","povertyZScore"
"1","Alabama",1999,12.5,15.2,-0.192927420031434,0.7475043722954
"2","Alabama",2000,13.1,13.3,-0.0417689236540318,0.189252552060916
"3","Alabama",2001,11.4,15.9,-0.470051330056672,0.953176095539684
"4","Alabama",2002,11.5,14.5,-0.444858247327105,0.541832649051117
"5","Alabama",2003,11.4,15,-0.470051330056672,0.688741022797033
"6","Alabama",2004,11.7,16.9,-0.394472081867971,1.24699284303152
"7","Alabama",2005,11.5,16.7,-0.444858247327105,1.18822949353315
"8","Alabama",2006,12.4,14.3,-0.218120502761001,0.48306929955275
"9","Alabama",2007,12.4,14.5,-0.218120502761001,0.541832649051117
"10","Alabama",2008,12.6,14.3,-0.167734337301867,0.48306929955275
"11","Alabama",2009,13.7,16.6,0.10938957272337,1.15884781878397
"12","Alabama",2010,14,17.2,0.184968820912072,1.33513786727907
"13","Alabama",2011,13.2,15.4,-0.0165758409244648,0.806267721793767
"14","Alabama",2012,14.7,16.2,0.361320400019041,1.04132111978723
"15","Alabama",2013,14.4,16.7,0.28574115183034,1.18822949353315
"16","Alabama",2014,14.5,17.8,0.310934234559907,1.51142791577417
"17","Alabama",2015,14.9,16.3,0.411706565478176,1.07070279453642
"18","Alabama",2016,15.7,16.2,0.613251227314712,1.04132111978723
"19","Alaska",1999,16.8,7.6,0.89037513733995,-1.48550290864254
"20","Alaska",2000,21.5,7.6,2.0744500256296,-1.48550290864254
"21","Alaska",2001,15.9,8.5,0.663637392773846,-1.22106783589989
"22","Alaska",2002,20.8,8.8,1.89809844652263,-1.13292281165233
"23","Alaska",2003,20.3,9.6,1.7721330328748,-0.897869413658868
"24","Alaska",2004,23,9.1,2.45234626657311,-1.04477778740479
"25","Alaska",2005,19.9,10,1.67136070195653,-0.780342714662135
"26","Alaska",2006,19.9,8.9,1.67136070195653,-1.10354113690315
"27","Alaska",2007,22.6,7.6,2.35157393565484,-1.48550290864254
"28","Alaska",2008,24.4,8.2,2.80504942478705,-1.30921286014744
"29","Alaska",2009,20,11.7,1.6965537846861,-0.280854243926018
"30","Alaska",2010,22.8,12.5,2.40196010111397,-0.0458008459325506
"31","Alaska",2011,20,11.7,1.6965537846861,-0.280854243926018
"32","Alaska",2012,23,10,2.45234626657311,-0.780342714662135
"33","Alaska",2013,23.2,10.9,2.50273243203224,-0.515907641919484
"34","Alaska",2014,22.1,11.9,2.225608522007,-0.222090894427651
"35","Alaska",2015,26.9,9.2,3.43487649302622,-1.0153961126556
"36","Alaska",2016,25.8,12.6,3.15775258300099,-0.0164191711833674
"37","Arizona",1999,15.5,12.2,0.562865061855578,-0.133945870180101
"38","Arizona",2000,15.6,11.7,0.588058144585145,-0.280854243926018
"39","Arizona",2001,14.8,14.6,0.386513482748609,0.5712143238003
"40","Arizona",2002,16.6,13.5,0.839988971880816,0.248015901559283
"41","Arizona",2003,15.5,13.5,0.562865061855578,0.248015901559283
"42","Arizona",2004,15.8,14.4,0.638444310044279,0.512450974301933
"43","Arizona",2005,16.4,15.2,0.789602806421681,0.7475043722954
"44","Arizona",2006,16.3,14.4,0.764409723692115,0.512450974301933
"45","Arizona",2007,16.5,14.3,0.814795889151248,0.48306929955275
"46","Arizona",2008,15.5,18,0.562865061855578,1.57019126527253
"47","Arizona",2009,16.7,21.2,0.865182054610382,2.5104048572464
"48","Arizona",2010,17,18.8,0.940761302799084,1.805244663266
"49","Arizona",2011,17.8,17.2,1.14230596463562,1.33513786727907
"50","Arizona",2012,17.3,19,1.01634055098779,1.86400801276437
"51","Arizona",2013,17.5,20.2,1.06672671644692,2.21658810975457
"52","Arizona",2014,18,21.2,1.19269213009475,2.5104048572464
"53","Arizona",2015,18.2,17.2,1.24307829555389,1.33513786727907
"54","Arizona",2016,17.7,16.1,1.11711288190605,1.01193944503805
"55","Arkansas",1999,12.6,14.7,-0.167734337301867,0.600595998549483
"56","Arkansas",2000,13,16.5,-0.0669620063835988,1.12946614403478
"57","Arkansas",2001,14.3,17.8,0.260548069100773,1.51142791577417
"58","Arkansas",2002,14,19.8,0.184968820912072,2.09906141075784
"59","Arkansas",2003,13.6,17.8,0.0841964899938035,1.51142791577417
"60","Arkansas",2004,13,15.1,-0.0669620063835988,0.718122697546217
"61","Arkansas",2005,14.3,13.8,0.260548069100773,0.336160925806833
"62","Arkansas",2006,13.3,17.7,0.00861724180510258,1.48204624102498
"63","Arkansas",2007,14.2,13.8,0.235354986371206,0.336160925806833
"64","Arkansas",2008,15.5,15.3,0.562865061855578,0.776886047044584
"65","Arkansas",2009,14.5,18.9,0.310934234559907,1.83462633801518
